created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:56:52 +0000 2021,Twitter for iPhone,"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today Remember, there are 3 easy ways to find a #COVID19 vaccine near you Search httpstcod2PDWIps8o Text your ZIP code to 438829 Call 18002320233 httpstcoAMmcMmCtiP",positive,0.5083333333333333,0.7833333333333333,en,685,221,Jmilio54,15,43,False,#wecandothis #covid19, ,Not provided
Fri Jun 18 17:56:54 +0000 2021,Twitter for Android,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days Soberana02 with and without booster and Abdala were tested in 85K volunteers in Havana and eastern Cuba @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol httpstcoGkrwLdJX1M,negative,-0.1625,0.2375,en,52,28,LilyWad75051099,474,361,False,#cuban #covid19 #vaccines,@biocubafarma @finlayinstituto @cda_dc @wola_org @aperezriverol,Not provided
Fri Jun 18 17:56:58 +0000 2021,Twitter for Android,THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED… https://t.co/iol4J5FQXo,THIS FIRST AID AGENT NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED httpstcoiol4J5FQXo,positive,0.1625,0.30833333333333335,en,0,0,SammyEyong,14,80,unknown, , ,Not provided
Fri Jun 18 17:57:06 +0000 2021,Twitter Web App,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19 And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country Vaccines are great but we need to do more httpstcoo8vX9TkY0Q",positive,0.37272727272727274,0.46742424242424246,en,4,2,trekkerteach12,7778,5990,False,#covid19 #deltavariant, ,Not provided
Fri Jun 18 17:57:12 +0000 2021,Twitter Web App,RT @YakiLopez: I guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ https://t.co/3eRJjOZF8W,RT @YakiLopez I guess this is what ethnic cleansing and apartheid look like httpstco3eRJjOZF8W,neutral,0.0,0.0,en,22,6,emet_news_press,9765,7035,False, ,@yakilopez,Global
Fri Jun 18 17:57:16 +0000 2021,Twitter for iPhone,Look how pathetically disrespectful the US is with the Pfizer distribution. Mere 400-480 while the others have hund… https://t.co/1KD2TVM0ak,Look how pathetically disrespectful the US is with the Pfizer distribution Mere 400480 while the others have hund httpstco1KD2TVM0ak,negative,-0.5,0.5,en,0,0,edjimimi,371,605,unknown, , ,Austin TX
Fri Jun 18 17:57:18 +0000 2021,Twitter Web App,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19 And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country Vaccines are great but we need to do more httpstcoo8vX9TkY0Q",positive,0.37272727272727274,0.46742424242424246,en,5,3,SheriD17536431,470,1240,False,#covid19 #deltavariant, ,Nashville
Fri Jun 18 17:57:19 +0000 2021,Twitter for iPhone,"Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",Africa is in the midst of a full blown third wave The sobering trajectory of surging cases should rouse everyone into urgent action We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems,positive,0.1958333333333333,0.2875,en,67,77,DuncanSteele8,48,74,unknown,#covid19, ,Not provided
Fri Jun 18 17:57:20 +0000 2021,Twitter Web App,"@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity","@DrTedros Less than 2 of Africa’s population has been vaccinated Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today@DrTedros #COVID19 #VaccinEquity",negative,-0.09166666666666666,0.41666666666666663,en,55,32,ChrisRamsden4,678,570,unknown,#covid19 #vaccinequity,@drtedros @drtedros,Kent
Fri Jun 18 17:57:22 +0000 2021,Twitter for iPhone,"So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd","So glad to join training day for the DC #COVID19 Community Corps They will be going door to door and attending events to encourage residents to #TakeTheShotDC Together, we’ll crush the virus httpstcoQ3MPcnZFJL httpstcoNibVFurhtd",positive,0.625,1.0,en,6,3,stevenlwalker,5769,1848,False,#covid19 #taketheshotdc, ,Bending stuff towards justice
Fri Jun 18 17:57:24 +0000 2021,Twitter for Android,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know Hers is a desperate request for vaccines to Africa We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa",positive,0.13333333333333333,0.45555555555555555,en,203,95,yuccaldo,1309,2618,unknown, , ,mRNApfizer 1shot 2304
Fri Jun 18 17:57:30 +0000 2021,Twitter for iPhone,"[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",MB WINNIPEG Available mRNA vaccines Scurfield Pharmacy 100 201 Scurfield Blvd 2043064459 httpstcocDMOKVMUTW Call to confirm availabilitybook appointment #protectmb httpstco7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB,positive,0.625,0.4,en,5,2,LeahMochula,84,592,False,#protectmb #vhcdose2 #covid19mb #vhcmb, ,Not provided
Fri Jun 18 17:57:31 +0000 2021,Twitter for Android,@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,@robinmonotti2 @RiseOfTheProles BTWCovid19 deaths are super inflated by a rigged PCR test Using a survival rate of the Covid19 virus of 9997 the death by vaccines comparison is infinitely higher try 1 million times more likely to die by the Covid19 shot than the actual virus httpstcooocr6CtzQZ,positive,0.2333333333333333,0.5533333333333333,en,3,3,siborg76,558,1684,False, ,@robinmonotti2 @riseoftheproles,England United Kingdom
Fri Jun 18 17:57:31 +0000 2021,Twitter Web App,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know Hers is a desperate request for vaccines to Africa We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa httpstcosOgIroihOc",positive,0.13333333333333333,0.45555555555555555,en,203,96,DrRobinFawcett,85,110,False, , ,London
Fri Jun 18 17:57:40 +0000 2021,Twitter for iPhone,"That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",Thats great But there are now zero appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2 Save Pfizer for our kids They dont have a choice between vaccines @KindrachukJason @SouradetS #mbpoli,positive,0.4000000000000001,0.7166666666666667,en,29,5,signpostpoetry,850,1827,unknown,#mbpoli,@kindrachukjason @souradets,Treaty One
Fri Jun 18 17:57:40 +0000 2021,Twitter Web App,"A free 6/23 webinar will review the state of #COVID19 in Brazil, India, and South Africa and explore what lessons w… https://t.co/a1SfPNXsJ6","A free 623 webinar will review the state of #COVID19 in Brazil, India, and South Africa and explore what lessons w httpstcoa1SfPNXsJ6",positive,0.4,0.8,en,0,0,sharon_inouye,6100,1556,unknown,#covid19, ,United States
Fri Jun 18 17:57:42 +0000 2021,Twitter Web App,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days Soberana02 with and without booster and Abdala were tested in 85K volunteers in Havana and eastern Cuba @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol httpstcoGkrwLdJX1M,negative,-0.1625,0.2375,en,54,29,laureiropedro1,45,258,False,#cuban #covid19 #vaccines,@biocubafarma @finlayinstituto @cda_dc @wola_org @aperezriverol,Not provided
Fri Jun 18 17:57:43 +0000 2021,Twitter for Android,"Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",Africa is in the midst of a full blown third wave The sobering trajectory of surging cases should rouse everyone into urgent action We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems,positive,0.1958333333333333,0.2875,en,68,78,yuccaldo,1309,2618,unknown,#covid19, ,mRNApfizer 1shot 2304
Fri Jun 18 17:57:48 +0000 2021,Twitter for iPhone,"🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM","Africa is in the midst of a fullblown third wave of coronavirus, the head of @WHOAFRO has warned Cases have risen across the continent by more than 20 and deaths have also risen by 15 in the last week @jriggers reports httpstcoCRDhqPHFWM",positive,0.16666666666666666,0.18888888888888888,en,548,614,Sportsmk,755,646,False, ,@whoafro @jriggers,texas
Fri Jun 18 17:57:48 +0000 2021,TweetDeck,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19 And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country Vaccines are great but we need to do more httpstcoo8vX9TkY0Q",positive,0.37272727272727274,0.46742424242424246,en,6,4,RGC_BPPA,2689,5003,False,#covid19 #deltavariant, ,Lafayette Louisiana
Fri Jun 18 17:57:55 +0000 2021,Twitter for Android,"We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor","We are dying Ugandans need the world to stand with them We need oxygen, PPEs, #COVID19 vaccines and money to pay our overstretched health workers World, we need each other Oxygen failure kills 30 Covid patients at Mulago httpstcoo1K0IUGf6Z via @DailyMonitor",negative,-0.23645833333333335,0.3375,en,855,485,saanchi_saxena,153,350,False,#covid19,@dailymonitor,Not provided
Fri Jun 18 17:57:59 +0000 2021,Twitter for iPhone,"#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",#ERNReCONNET meeting #SLE and #COVID19 #vaccines Thats the reason why ERNs were developed #patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus httpstcoIJluIIioyn,positive,0.1,0.3,en,6,4,NatxRP,70,305,False,#ernreconnet #sle #covid19 #vaccines #patientsinvolvement #bestpractices #systemiclupuserythematosus, ,Barcelona Espanya
Fri Jun 18 17:57:59 +0000 2021,Twitter for Android,"""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22","Africa needs millions more doses here amp now to curb the third wave In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for muchneeded COVID19 vaccine doses during this critical time httpstcoKUDPXpqq22",positive,0.125,0.325,en,62,48,yuccaldo,1309,2619,False,#covid19 #africa,@moetitshidi,mRNApfizer 1shot 2304
Fri Jun 18 17:58:01 +0000 2021,Twitter Web App,"A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether",A new @EurobarometerEU survey shows 79 of Europeans intend to get vaccinated against #COVID19 this year But people aged under 45 are more hesitant 70 also believe the EU plays a key role in ensuring access to vaccines in their country More info #StrongerTogether,positive,0.20727272727272728,0.5709090909090909,en,102,50,CaleEuropaEdic,2228,2720,unknown,#covid19 #strongertogether,@eurobarometereu,Not provided
Fri Jun 18 17:58:02 +0000 2021,Twitter for iPhone,"We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor","We are dying Ugandans need the world to stand with them We need oxygen, PPEs, #COVID19 vaccines and money to pay our overstretched health workers World, we need each other Oxygen failure kills 30 Covid patients at Mulago httpstcoo1K0IUGf6Z via @DailyMonitor",negative,-0.23645833333333335,0.3375,en,855,486,chloekam09,478,441,False,#covid19,@dailymonitor,Not provided
Fri Jun 18 17:58:08 +0000 2021,Twitter for Android,"Global Partnership is needed to achieve Global Elimination of Cervical Cancer Globally.
#COVID19 has shown that we… https://t.co/sqkhlN56Ld",Global Partnership is needed to achieve Global Elimination of Cervical Cancer Globally #COVID19 has shown that we httpstcosqkhlN56Ld,neutral,0.0,0.0,en,0,0,runciecwc,6467,2529,unknown,#covid19, ,Nigeria
Fri Jun 18 17:58:09 +0000 2021,Twitter for Android,"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today Remember, there are 3 easy ways to find a #COVID19 vaccine near you Search httpstcod2PDWIps8o Text your ZIP code to 438829 Call 18002320233 httpstcoAMmcMmCtiP",positive,0.5083333333333333,0.7833333333333333,en,687,222,Renee98929893,12,152,False,#wecandothis #covid19, ,Not provided
Fri Jun 18 17:58:15 +0000 2021,Twitter Web App,"The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",The US government is lying to us by pretending #Covid19 is over It is not over People are still dying daily Vaccines are fantastic but they are not the only thing we need to do to save lives Call your elected officials httpstcomuzgCGzd2B,positive,0.13333333333333333,0.6333333333333333,en,0,1,corrigan_david,2898,5001,False,#covid19, ,Los Angeles CA
Fri Jun 18 17:58:28 +0000 2021,Twitter for Android,IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID 8 months later the problem continues #COVID Inequality share the story,neutral,0.0,0.06388888888888888,en,3,5,guyinthecorner1,249,375,unknown,#covid, ,South Africa
Fri Jun 18 17:58:40 +0000 2021,Twitter for iPhone,"[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",MB WINNIPEG Available mRNA vaccines Atlantic Medical Centre 1054 McPhillips Street 2045051580 Call to confirm availabilitybook an appointment httpstco7OYAVc9tK1 #protectmb #VHCDose2 #COVID19MB #vhcMB,positive,0.25,0.2,en,3,5,SandyBiback,910,575,False,#protectmb #vhcdose2 #covid19mb #vhcmb, ,Canada
Fri Jun 18 17:58:43 +0000 2021,Twitter for Android,"More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)","More than 10,000 new cases in South Africas latest report Positivity rate above 20 The third wave continues And twothirds of new cases are in Gauteng province",positive,0.21212121212121207,0.40151515151515155,en,7,6,FortuneThembo,214,855,unknown, , ,Johannesburg South Africa
Fri Jun 18 17:58:53 +0000 2021,Twitter for Android,At least one take away seems to me to be that universities may still find themselves facing litigation even if they don't mandate #covid19 #vaccines.,At least one take away seems to me to be that universities may still find themselves facing litigation even if they dont mandate #covid19 #vaccines,negative,-0.3,0.4,en,10,2,JonathanKuo11,19,103,unknown,#covid19 #vaccines, ,Not provided
Fri Jun 18 17:59:01 +0000 2021,Sprout Social,With the vaccination programme well underway it is important that employers continue to ensure their staff can find… https://t.co/THVSYBFinh,With the vaccination programme well underway it is important that employers continue to ensure their staff can find httpstcoTHVSYBFinh,positive,0.4,1.0,en,0,0,TamesideCouncil,29688,1104,unknown, , ,Ashton-under-Lyne England
Fri Jun 18 17:59:10 +0000 2021,Twitter for iPad,"Not yet vaccinated against COVID-19? Sign up for an appointment and let’s stop the spread! #WeCanDoThis #Arizona 

https://t.co/6SJjjtquRx",Not yet vaccinated against COVID19 Sign up for an appointment and let’s stop the spread #WeCanDoThis #Arizona httpstco6SJjjtquRx,neutral,0.0,0.0,en,0,0,realjacobsumner,974,1329,unknown,#wecandothis #arizona, ,Glendale AZ
Fri Jun 18 17:59:13 +0000 2021,Twitter for iPhone,"You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit You no longer need to wait 14 days between vaccines Side effects are the same if vaccines are given alone or together More about vaccine timing httpstcoBV3mN5XdLe httpstcoRWrRzhKdEg",positive,0.09375,0.28125,en,107,63,HIPhealthy,9396,7492,False,#covid19, ,Miami Florida
Fri Jun 18 17:59:14 +0000 2021,Twitter for Android,RT @Rimmel_Mohydin: HOARDING VACCINES IS COSTING LIVES.,RT @Rimmel_Mohydin HOARDING VACCINES IS COSTING LIVES,neutral,0.0,0.0,en,64,27,Morteza22047559,784,601,unknown, ,@rimmel_mohydin,Canada
Fri Jun 18 17:59:22 +0000 2021,Twitter for iPad,"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines httpstcoWcVq32s9WD",positive,3.700743415417188e-17,0.6333333333333334,en,536,349,williapa81,295,1450,False, , ,Not provided
Fri Jun 18 17:59:24 +0000 2021,Twitter Web App,"@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous to Palestinians, making the covid19 crisis far worse, leading to more Palestinian deaths? #ThisisIsrael. https://t.co/WTPn9XMSvs","@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous to Palestinians, making the covid19 crisis far worse, leading to more Palestinian deaths #ThisisIsrael httpstcoWTPn9XMSvs",negative,-0.125,0.725,en,8,10,LallaMina13,142,367,False,#thisisisrael,@aipac,Earth Milky way
Fri Jun 18 17:59:36 +0000 2021,Twitter for Android,"17 June 2021: #COVID19 in South Africa 🇿🇦

Daily test positivity rate at 22.6% today, that's a positive test for every 4-5 tests processed 🚩

The increase in test positivity rate, 7-day average at 18.7%, confirming the rapid rise in infections 📈

#Rid1TweetsOnCovid #coronavirus https://t.co/LKarZlmwgg","17 June 2021 #COVID19 in South Africa Daily test positivity rate at 226 today, thats a positive test for every 45 tests processed The increase in test positivity rate, 7day average at 187, confirming the rapid rise in infections #Rid1TweetsOnCovid #coronavirus httpstcoLKarZlmwgg",positive,0.025757575757575757,0.3151515151515151,en,160,63,marissalangeni,1070,666,False,#covid19 #rid1tweetsoncovid #coronavirus, ,JHB
